Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Bajo;100;85,71;83,87;40;70,97;60;25,81;3,23;63,33;51,61;100;100;65,21
Araba;Moderado;0;7,14;6,45;13,33;9,68;10;16,13;12,9;10;32,26;0;0;9,86
Araba;Alto;0;7,14;6,45;33,33;16,13;26,67;12,9;12,9;6,67;12,9;0;0;11,23
Araba;Muy_Alto;0;0;3,23;13,33;3,23;3,33;38,71;35,48;6,67;3,23;0;0;9,04
Araba;Extremo;0;0;0;0;0;0;6,45;35,48;13,33;0;0;0;4,66
Albacete;Bajo;100;100;100;90;77,42;63,33;6,45;6,45;73,33;96,77;100;100;75,89
Albacete;Moderado;0;0;0;10;12,9;23,33;9,68;32,26;20;3,23;0;0;9,32
Albacete;Alto;0;0;0;0;9,68;10;35,48;25,81;0;0;0;0;6,85
Albacete;Muy_Alto;0;0;0;0;0;3,33;22,58;12,9;6,67;0;0;0;3,84
Albacete;Extremo;0;0;0;0;0;0;25,81;22,58;0;0;0;0;4,11
Alicante;Bajo;77,42;85,71;100;100;83,87;60;12,9;9,68;63,33;100;100;100;74,25
Alicante;Moderado;12,9;10,71;0;0;12,9;33,33;9,68;32,26;20;0;0;0;10,96
Alicante;Alto;9,68;3,57;0;0;3,23;3,33;41,94;25,81;16,67;0;0;0;8,77
Alicante;Muy_Alto;0;0;0;0;0;3,33;32,26;32,26;0;0;0;0;5,75
Alicante;Extremo;0;0;0;0;0;0;3,23;0;0;0;0;0;0,27
Almeria;Bajo;90,32;100;96,77;100;80,65;56,67;6,45;0;46,67;77,42;86,67;96,77;69,59
Almeria;Moderado;9,68;0;3,23;0;19,35;30;22,58;35,48;30;22,58;13,33;3,23;15,89
Almeria;Alto;0;0;0;0;0;13,33;35,48;32,26;10;0;0;0;7,67
Almeria;Muy_Alto;0;0;0;0;0;0;29,03;32,26;13,33;0;0;0;6,3
Almeria;Extremo;0;0;0;0;0;0;6,45;0;0;0;0;0;0,55
Avila;Bajo;100;100;96,77;90;96,77;70;9,68;6,45;80;100;100;100;78,9
Avila;Moderado;0;0;3,23;10;3,23;20;9,68;9,68;10;0;0;0;5,48
Avila;Alto;0;0;0;0;0;10;32,26;19,35;3,33;0;0;0;5,48
Avila;Muy_Alto;0;0;0;0;0;0;29,03;45,16;6,67;0;0;0;6,85
Avila;Extremo;0;0;0;0;0;0;19,35;19,35;0;0;0;0;3,29
Badajoz;Bajo;100;100;96,77;90;83,87;50;0;19,35;80;100;100;100;76,44
Badajoz;Moderado;0;0;0;10;9,68;20;25,81;12,9;3,33;0;0;0;6,85
Badajoz;Alto;0;0;3,23;0;6,45;16,67;25,81;22,58;10;0;0;0;7,12
Badajoz;Muy_Alto;0;0;0;0;0;10;32,26;25,81;6,67;0;0;0;6,3
Badajoz;Extremo;0;0;0;0;0;3,33;16,13;19,35;0;0;0;0;3,29
Illes Balears;Bajo;100;85,71;83,87;83,33;83,87;66,67;3,23;6,45;80;100;100;100;74,25
Illes Balears;Moderado;0;10,71;16,13;13,33;16,13;26,67;51,61;35,48;6,67;0;0;0;14,79
Illes Balears;Alto;0;3,57;0;3,33;0;6,67;22,58;35,48;10;0;0;0;6,85
Illes Balears;Muy_Alto;0;0;0;0;0;0;22,58;19,35;3,33;0;0;0;3,84
Illes Balears;Extremo;0;0;0;0;0;0;0;3,23;0;0;0;0;0,27
Barcelona;Bajo;100;92,86;74,19;70;58,06;26,67;0;19,35;66,67;87,1;90;96,77;64,93
Barcelona;Moderado;0;7,14;19,35;10;25,81;20;12,9;19,35;30;12,9;10;3,23;14,25
Barcelona;Alto;0;0;6,45;16,67;16,13;36,67;16,13;32,26;3,33;0;0;0;10,68
Barcelona;Muy_Alto;0;0;0;3,33;0;10;45,16;19,35;0;0;0;0;6,58
Barcelona;Extremo;0;0;0;0;0;6,67;25,81;9,68;0;0;0;0;3,56
Burgos;Bajo;100;96,43;90,32;63,33;83,87;70;9,68;9,68;70;80,65;100;100;72,6
Burgos;Moderado;0;3,57;6,45;36,67;16,13;23,33;29,03;3,23;3,33;19,35;0;0;11,78
Burgos;Alto;0;0;3,23;0;0;6,67;25,81;12,9;13,33;0;0;0;5,21
Burgos;Muy_Alto;0;0;0;0;0;0;29,03;51,61;6,67;0;0;0;7,4
Burgos;Extremo;0;0;0;0;0;0;6,45;22,58;6,67;0;0;0;3,01
Caceres;Bajo;100;100;96,77;100;93,55;63,33;9,68;3,23;83,33;100;100;100;78,9
Caceres;Moderado;0;0;0;0;6,45;13,33;12,9;16,13;6,67;0;0;0;4,66
Caceres;Alto;0;0;3,23;0;0;16,67;38,71;29,03;6,67;0;0;0;7,95
Caceres;Muy_Alto;0;0;0;0;0;6,67;29,03;32,26;3,33;0;0;0;6,03
