Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Bajo;54,84;20,69;48,39;70;25,81;53,33;9,68;19,35;36,67;93,55;76,67;100;50,82
Araba;Moderado;45,16;62,07;45,16;26,67;38,71;30;12,9;12,9;6,67;6,45;23,33;0;25,68
Araba;Alto;0;17,24;6,45;3,33;32,26;16,67;35,48;12,9;6,67;0;0;0;10,93
Araba;Muy_Alto;0;0;0;0;3,23;0;19,35;22,58;20;0;0;0;5,46
Araba;Extremo;0;0;0;0;0;0;22,58;32,26;30;0;0;0;7,1
Albacete;Bajo;74,19;62,07;54,84;93,33;32,26;13,33;6,45;0;23,33;64,52;96,67;100;51,64
Albacete;Moderado;25,81;24,14;38,71;6,67;54,84;46,67;22,58;16,13;43,33;29,03;3,33;0;25,96
Albacete;Alto;0;13,79;6,45;0;12,9;36,67;32,26;29,03;26,67;0;0;0;13,11
Albacete;Muy_Alto;0;0;0;0;0;3,33;25,81;35,48;6,67;3,23;0;0;6,28
Albacete;Extremo;0;0;0;0;0;0;12,9;19,35;0;3,23;0;0;3,01
Alicante;Bajo;93,55;68,97;51,61;90;35,48;30;0;22,58;40;48,39;96,67;83,87;54,92
Alicante;Moderado;6,45;13,79;22,58;10;61,29;50;25,81;6,45;20;32,26;3,33;16,13;22,4
Alicante;Alto;0;17,24;22,58;0;3,23;20;29,03;22,58;23,33;9,68;0;0;12,3
Alicante;Muy_Alto;0;0;0;0;0;0;45,16;35,48;13,33;6,45;0;0;8,47
Alicante;Extremo;0;0;3,23;0;0;0;0;12,9;3,33;3,23;0;0;1,91
Almeria;Bajo;77,42;65,52;51,61;100;32,26;13,33;0;0;26,67;41,94;96,67;96,77;50
Almeria;Moderado;22,58;34,48;38,71;0;54,84;66,67;12,9;6,45;36,67;41,94;3,33;3,23;26,78
Almeria;Alto;0;0;9,68;0;12,9;20;54,84;32,26;26,67;12,9;0;0;14,21
Almeria;Muy_Alto;0;0;0;0;0;0;29,03;58,06;10;3,23;0;0;8,47
Almeria;Extremo;0;0;0;0;0;0;3,23;3,23;0;0;0;0;0,55
Avila;Bajo;48,39;27,59;54,84;96,67;38,71;46,67;3,23;12,9;46,67;96,77;100;100;56,01
Avila;Moderado;51,61;62,07;45,16;3,33;48,39;43,33;6,45;6,45;6,67;3,23;0;0;22,95
Avila;Alto;0;10,34;0;0;12,9;10;25,81;25,81;16,67;0;0;0;8,47
Avila;Muy_Alto;0;0;0;0;0;0;51,61;29,03;26,67;0;0;0;9,02
Avila;Extremo;0;0;0;0;0;0;12,9;25,81;3,33;0;0;0;3,55
Badajoz;Bajo;96,77;68,97;54,84;100;29,03;10;3,23;12,9;40;83,87;100;100;58,2
Badajoz;Moderado;3,23;31,03;45,16;0;67,74;50;3,23;6,45;20;9,68;0;0;19,67
Badajoz;Alto;0;0;0;0;3,23;16,67;32,26;35,48;13,33;3,23;0;0;8,74
Badajoz;Muy_Alto;0;0;0;0;0;23,33;45,16;29,03;23,33;0;0;0;10,11
Badajoz;Extremo;0;0;0;0;0;0;16,13;16,13;3,33;3,23;0;0;3,28
Illes Balears;Bajo;83,87;48,28;45,16;70;25,81;46,67;6,45;6,45;70;87,1;80;90,32;54,92
Illes Balears;Moderado;16,13;37,93;38,71;23,33;58,06;40;22,58;32,26;16,67;6,45;13,33;9,68;26,23
Illes Balears;Alto;0;13,79;16,13;6,67;16,13;13,33;41,94;45,16;10;3,23;6,67;0;14,48
Illes Balears;Muy_Alto;0;0;0;0;0;0;22,58;9,68;3,33;3,23;0;0;3,28
Illes Balears;Extremo;0;0;0;0;0;0;6,45;6,45;0;0;0;0;1,09
Barcelona;Bajo;70,97;24,14;45,16;50;29,03;56,67;6,45;9,68;60;96,77;96,67;100;53,83
Barcelona;Moderado;29,03;55,17;32,26;33,33;16,13;33,33;35,48;6,45;36,67;3,23;3,33;0;23,5
Barcelona;Alto;0;20,69;22,58;16,67;54,84;10;19,35;22,58;3,33;0;0;0;14,21
Barcelona;Muy_Alto;0;0;0;0;0;0;25,81;38,71;0;0;0;0;5,46
Barcelona;Extremo;0;0;0;0;0;0;12,9;22,58;0;0;0;0;3,01
Burgos;Bajo;51,61;34,48;35,48;90;29,03;70;3,23;22,58;43,33;96,77;96,67;100;56,01
Burgos;Moderado;48,39;55,17;58,06;10;38,71;23,33;12,9;16,13;0;3,23;3,33;0;22,4
Burgos;Alto;0;10,34;6,45;0;32,26;6,67;41,94;19,35;23,33;0;0;0;11,75
Burgos;Muy_Alto;0;0;0;0;0;0;32,26;22,58;26,67;0;0;0;6,83
Burgos;Extremo;0;0;0;0;0;0;9,68;19,35;6,67;0;0;0;3,01
Caceres;Bajo;100;72,41;51,61;96,67;45,16;23,33;3,23;6,45;46,67;96,77;100;100;61,75
Caceres;Moderado;0;27,59;48,39;3,33;54,84;50;3,23;16,13;6,67;3,23;0;0;17,76
Caceres;Alto;0;0;0;0;0;20;19,35;16,13;16,67;0;0;0;6,01
Caceres;Muy_Alto;0;0;0;0;0;6,67;61,29;45,16;16,67;0;0;0;10,93
Caceres;Extremo;0;0;0;0;0;0;12,9;16,13;13,33;0;0;0;3,55
Cadiz;Bajo;93,55;62,07;61,29;100;38,71;30;3,23;12,9;36,67;64,52;100;100;58,47
Cadiz;Moderado;6,45;37,93;38,71;0;41,94;53,33;29,03;22,58;23,33;12,9;0;0;22,13
Cadiz;Alto;0;0;0;0;19,35;10;38,71;38,71;13,33;16,13;0;0;11,48
Cadiz;Muy_Alto;0;0;0;0;0;6,67;22,58;22,58;13,33;6,45;0;0;6,01
Cadiz;Extremo;0;0;0;0;0;0;6,45;3,23;13,33;0;0;0;1,91
Castellon;Bajo;58,06;44,83;58,06;96,67;38,71;43,33;19,35;3,23;13,33;29,03;90;100;49,45
